wardNumber,name,zone,minLat,maxLat,minLng,maxLng
1,Kempegowda Ward,Yelahanka,13.0859083,13.1343073,77.5851949,77.6302409
2,Chowdeswari Ward,Yelahanka,13.1018215,13.1426195,77.5625217,77.597201
3,Someshwara Ward,Yelahanka,13.0866283,13.1164264,77.5615912,77.5865149
4,Atturu Layout,Yelahanka,13.0817031,13.1139094,77.5407137,77.5700954
5,Yelahanka Satellite Town,Yelahanka,13.0760693,13.1049449,77.577156,77.5963666
6,Kogilu,Yelahanka,13.0765433,13.1316007,77.6073106,77.6503199
7,Thanisandra,Yelahanka,13.0407179,13.0817969,77.6263701,77.6415136
8,Jakkuru,Yelahanka,13.0383202,13.0944525,77.5999893,77.6337634
9,Amrutahalli,Yelahanka,13.0477718,13.0734388,77.5927127,77.6183439
10,Kempapura,Yelahanka,13.0382057,13.0646609,77.5779039,77.6136086
11,Byatarayanapura,Yelahanka,13.0584288,13.0980794,77.5600718,77.6028615
12,Kodigehalli,Yelahanka,13.0455929,13.0665671,77.5641453,77.5839147
13,Dodda Bommasandra,Yelahanka,13.0400016,13.0698842,77.5479885,77.5718897
14,Vidyaranyapura,Yelahanka,13.0630287,13.0861859,77.5515473,77.5656477
15,Kuvempunagar,Yelahanka,13.0543204,13.0899733,77.5294219,77.5601047
16,Kammagondanahalli,East,13.0548276,13.093068,77.5179571,77.5407137
17,Shettihalli,Dasarahalli,13.0459104,13.0780066,77.4926283,77.5329521
18,Bagalakunte,Dasarahalli,13.047384,13.063831,77.4909557,77.5072994
19,Defence Colony,Dasarahalli,13.0433201,13.0615097,77.4957453,77.5143182
20,Mallasandra,Dasarahalli,13.046537,13.0612273,77.5079058,77.5203821
21,T Dasarahalli,Dasarahalli,13.0398903,13.0505153,77.5050592,77.5221981
22,Chokkasandra,Dasarahalli,13.0282485,13.0443842,77.4961106,77.5184413
23,Nelagadderanahalli,Dasarahalli,13.0063964,13.0370124,77.4935511,77.5167546
24,Rajagopal Nagar,Dasarahalli,13.0124646,13.0367314,77.5103714,77.5267856
25,Rajeshwari Nagar,RR Nagar,13.0052482,13.0164981,77.5054823,77.5199105
26,Hegganahalli,Dasarahalli,12.9971192,13.0095416,77.4978384,77.519369
27,Sunkadakatte,Dasarahalli,12.9885701,13.0064281,77.49323,77.5066436
28,Dodda Bidarakallu,RR Nagar,13.0032292,13.0515647,77.4728395,77.4992953
29,Vidyamanyanagar,RR Nagar,12.9849708,13.0156288,77.4717548,77.4999908
30,Herohalli,RR Nagar,12.9762209,13.0008388,77.4810388,77.5014782
31,Doddagollarahatti,RR Nagar,12.9375075,12.9954612,77.4684461,77.4985121
32,Ullal,RR Nagar,12.9212352,12.9641192,77.4777849,77.500079
33,Kengeri,RR Nagar,12.9097199,12.9370587,77.4790362,77.4992055
34,Bande Mutt,RR Nagar,12.897565,12.9331024,77.4598797,77.5118194
35,Hemmigepura,RR Nagar,12.8397015,12.9230089,77.4621025,77.552022
36,Chatrapati Shivaji,RR Nagar,13.014875,13.0334972,77.532635,77.5558611
37,Chanakya,RR Nagar,13.0191903,13.0323227,77.5505788,77.5590878
38,J P Park,RR Nagar,13.0285476,13.0436794,77.5429543,77.5599756
39,Kanneshwara Rama,RR Nagar,13.0324367,13.056729,77.5329686,77.5609627
40,Veeramadakari,RR Nagar,13.0257904,13.0548294,77.5184413,77.5501839
41,Peenya,RR Nagar,13.015444,13.0398903,77.5178356,77.5372223
42,Lakshmi Devi Nagar,RR Nagar,13.0092641,13.0215204,77.5196449,77.531212
43,Ranadheera Kanteerava,RR Nagar,12.9996789,13.012689,77.5172988,77.5304644
44,Veera Sindhura Lakshamana,RR Nagar,12.9918293,13.006388,77.5040403,77.5282047
